Restaurant Name,Location,Rating,Votes,Cost for Two,Online Order,Book Table,Restaurant Type,Service Type,Chain Name
Gonzalez LLC,Koramangala,1.7,87449,1271,No,Yes,Delivery,Desserts,The Fatty Bao
Cox-Hamilton,MG Road,1.5,19734,5860,Yes,Yes,Cafe,Desserts,Empire
Ramos Ltd,HSR,3.0,10975,2725,No,Yes,Cafe,Dine-out,TBC Sky Lounge
Small-Golden,Whitefield,2.7,146780,3529,Yes,Yes,Quick Bites,Dine-out,The Fatty Bao
Carr Ltd,Indiranagar,2.1,87090,3572,Yes,No,Quick Bites,Delivery,The Fatty Bao
Patterson-Pitts,Indiranagar,4.5,58319,1834,No,No,Cafe,Dine-out,TBC Sky Lounge
Tran and Sons,Indiranagar,3.8,104465,2889,No,Yes,Cafe,Cafes,Empire
Henson Inc,Jayanagar,3.9,140575,2912,Yes,Yes,Cafe,Dine-out,Nagarjuna
Walker-Davis,Koramangala,1.6,113928,3031,No,No,Dessert Parlor,Desserts,The Black Pearl
"Rivera, Walsh and Hull",Jayanagar,4.6,49838,2286,Yes,No,Casual Dining,Desserts,Empire
Odom-Acevedo,JP Nagar,2.8,18353,5641,No,No,Casual Dining,Cafes,Empire
"Morgan, Reed and English",Koramangala,3.8,85516,3496,No,Yes,Quick Bites,Buffet,The Fatty Bao
Thomas Group,HSR,3.7,78902,3526,Yes,No,Cafe,Dine-out,The Fatty Bao
Stevenson Ltd,Church Street,3.6,84485,4009,No,No,Quick Bites,Desserts,Truffles
"Saunders, Olson and Crane",HSR,3.8,74402,4422,No,Yes,Quick Bites,Cafes,TBC Sky Lounge
Kennedy-Diaz,JP Nagar,2.0,12124,2205,No,Yes,Delivery,Buffet,Nagarjuna
Ware PLC,JP Nagar,4.0,100667,4249,No,Yes,Quick Bites,Delivery,The Black Pearl
Hill Ltd,Jayanagar,2.3,135789,4005,Yes,Yes,Casual Dining,Buffet,Biergarten
Stevens-Mcknight,Marathahalli,3.8,146528,5077,No,No,Dessert Parlor,Desserts,The Fatty Bao
"Johnson, Morse and Andrade",MG Road,3.1,41732,4088,No,No,Quick Bites,Cafes,Empire
Ellis Group,Marathahalli,3.7,71994,3803,Yes,No,Quick Bites,Cafes,Brew and Barbeque
Torres-Young,BTM,4.6,21132,1333,Yes,Yes,Delivery,Dine-out,TBC Sky Lounge
Jackson-Long,Whitefield,3.0,86748,4645,No,No,Casual Dining,Dine-out,The Fatty Bao
Williams-Powell,Jayanagar,4.7,5130,4916,No,No,Casual Dining,Cafes,Windmills Craftworks
"Barnes, Morrow and Howell",Jayanagar,4.5,109853,4609,Yes,No,Quick Bites,Cafes,The Fatty Bao
Morris-Jenkins,Marathahalli,1.6,88124,5679,No,Yes,Delivery,Dine-out,Nagarjuna
"Torres, Watts and Hernandez",MG Road,1.6,103300,5048,Yes,Yes,Delivery,Dine-out,Truffles
James-Johnson,HSR,1.7,99389,2881,Yes,No,Cafe,Cafes,The Fatty Bao
Rivera-Gibson,Koramangala,4.1,110520,2266,Yes,No,Casual Dining,Desserts,Toit
Huang and Sons,BTM,2.3,17997,5539,Yes,Yes,Quick Bites,Dine-out,Toit
Mason Inc,Church Street,2.0,33098,4079,Yes,Yes,Delivery,Cafes,Brew and Barbeque
Wells-Cowan,HSR,3.6,30034,1541,No,Yes,Dessert Parlor,Delivery,Windmills Craftworks
Johnson Inc,Church Street,3.9,98394,3449,Yes,Yes,Dessert Parlor,Dine-out,The Black Pearl
Medina-Roberts,Koramangala,4.5,31743,4836,Yes,No,Dessert Parlor,Buffet,Brew and Barbeque
"Gilbert, Hernandez and Webb",Whitefield,3.3,89461,303,No,No,Casual Dining,Buffet,Brew and Barbeque
James Group,Marathahalli,4.0,114170,1642,No,No,Delivery,Buffet,Nagarjuna
"Dixon, Cardenas and Fernandez",Koramangala,2.6,64365,909,No,No,Quick Bites,Buffet,Nagarjuna
"Love, Chapman and Benson",Church Street,3.8,88194,435,No,No,Quick Bites,Buffet,TBC Sky Lounge
Hernandez Inc,BTM,4.3,89227,2490,No,Yes,Dessert Parlor,Dine-out,The Black Pearl
"Boone, Jones and Moore",JP Nagar,4.0,128087,4748,Yes,No,Delivery,Buffet,Toit
Dalton-Pearson,Whitefield,2.5,106021,5867,Yes,No,Dessert Parlor,Cafes,Truffles
Jones-Moore,MG Road,3.4,111553,4708,No,No,Delivery,Cafes,Windmills Craftworks
Fisher-Morris,Koramangala,2.3,50494,2784,Yes,Yes,Quick Bites,Dine-out,Truffles
Leon-Dawson,Koramangala,4.0,137540,5088,No,Yes,Quick Bites,Cafes,TBC Sky Lounge
Black Ltd,BTM,2.1,3718,6000,Yes,No,Casual Dining,Delivery,Empire
Contreras Inc,Koramangala,3.9,33113,5425,No,Yes,Casual Dining,Desserts,Windmills Craftworks
Walton-Bowen,Marathahalli,3.2,89324,1710,Yes,No,Delivery,Delivery,The Black Pearl
"Crane, Davis and Miller",Jayanagar,3.2,14063,1442,Yes,No,Casual Dining,Dine-out,The Black Pearl
Lopez-Hudson,MG Road,4.2,59172,4480,No,No,Delivery,Cafes,Nagarjuna
Osborn Group,Jayanagar,2.6,15799,5194,Yes,Yes,Quick Bites,Cafes,The Black Pearl
"Robinson, Lee and Colon",HSR,2.3,144711,814,Yes,Yes,Delivery,Buffet,Nagarjuna
Black Inc,Marathahalli,2.5,60690,2560,No,No,Casual Dining,Dine-out,Windmills Craftworks
Smith-Huffman,Church Street,3.8,51867,3682,Yes,Yes,Quick Bites,Cafes,Biergarten
Juarez-Tyler,Whitefield,1.7,80648,5074,No,No,Casual Dining,Buffet,Windmills Craftworks
Richardson-West,Jayanagar,4.8,131205,4623,No,No,Casual Dining,Desserts,Toit
Phillips and Sons,Jayanagar,4.1,65642,411,Yes,Yes,Dessert Parlor,Desserts,Toit
Velasquez Inc,Koramangala,3.5,45935,4054,No,No,Quick Bites,Desserts,The Fatty Bao
"Odonnell, Harrington and Waller",Marathahalli,4.9,123220,3050,No,No,Cafe,Delivery,Biergarten
"Robertson, Lewis and Davis",BTM,2.9,129894,2561,No,Yes,Delivery,Delivery,Brew and Barbeque
Cruz Ltd,Koramangala,2.6,105962,4415,Yes,No,Delivery,Delivery,TBC Sky Lounge
"Delgado, Delacruz and Moody",MG Road,2.8,130686,5323,No,Yes,Quick Bites,Cafes,Empire
Hayes-Bray,HSR,4.7,114859,5920,No,Yes,Casual Dining,Desserts,TBC Sky Lounge
"Fischer, Hicks and Evans",HSR,2.6,3594,4724,No,Yes,Quick Bites,Delivery,Truffles
Perez-Powers,Whitefield,3.8,40372,4282,No,No,Delivery,Buffet,Truffles
Velez PLC,JP Nagar,3.1,37927,3342,Yes,Yes,Casual Dining,Cafes,The Fatty Bao
Heath-Ford,BTM,4.8,133110,2388,Yes,No,Cafe,Desserts,Nagarjuna
"Flowers, Tyler and Thompson",Marathahalli,4.5,117069,4612,No,No,Cafe,Desserts,Empire
"Moreno, Todd and Ritter",Jayanagar,3.1,84362,1745,Yes,No,Quick Bites,Buffet,Toit
"Edwards, Cooley and Hutchinson",BTM,4.1,99947,3362,Yes,No,Casual Dining,Dine-out,Empire
Lin-Crawford,Church Street,2.7,26319,3806,Yes,No,Casual Dining,Dine-out,The Fatty Bao
"Nelson, Allen and Jackson",HSR,1.8,69484,2973,No,Yes,Cafe,Desserts,The Fatty Bao
Simon and Sons,BTM,3.7,127922,4632,Yes,Yes,Quick Bites,Cafes,TBC Sky Lounge
"Hicks, Moore and Watkins",Whitefield,3.0,25816,5391,Yes,No,Quick Bites,Cafes,Toit
"Mayo, Walsh and Woods",Indiranagar,2.6,14721,2603,No,No,Delivery,Dine-out,TBC Sky Lounge
"Padilla, Simmons and Johnson",MG Road,2.9,47210,1592,Yes,Yes,Dessert Parlor,Buffet,Nagarjuna
Robertson Ltd,JP Nagar,3.2,37527,2102,No,No,Delivery,Cafes,Toit
Ho-Hudson,Marathahalli,4.7,143297,1494,Yes,No,Cafe,Desserts,Windmills Craftworks
"Mckinney, Weaver and Perkins",Jayanagar,3.9,119766,2674,Yes,No,Delivery,Delivery,TBC Sky Lounge
"Sullivan, Jones and Kelly",Jayanagar,3.5,77571,5928,No,Yes,Delivery,Cafes,Toit
"Avila, Jensen and Lester",Church Street,4.5,12866,5167,No,No,Quick Bites,Desserts,Brew and Barbeque
"Johnson, Pacheco and Wells",JP Nagar,3.7,65710,5752,Yes,Yes,Casual Dining,Cafes,Truffles
Levine-Jones,Indiranagar,3.5,34458,938,No,No,Delivery,Dine-out,TBC Sky Lounge
"Mckee, Villa and Moore",HSR,4.3,95917,4548,No,Yes,Cafe,Buffet,Windmills Craftworks
"Bowman, Williams and Ross",BTM,4.3,122780,816,Yes,Yes,Delivery,Desserts,Brew and Barbeque
Meyer Group,Whitefield,4.3,3658,2366,Yes,No,Cafe,Cafes,Nagarjuna
Vargas and Sons,Jayanagar,4.4,97389,1087,Yes,No,Casual Dining,Desserts,Empire
Bright-Martinez,BTM,4.7,58040,5505,Yes,No,Cafe,Buffet,The Black Pearl
Bass Inc,HSR,1.7,9764,2693,No,Yes,Casual Dining,Dine-out,Empire
Hoffman-Richardson,HSR,2.9,97268,5692,No,Yes,Delivery,Delivery,Truffles
Stewart-Mcguire,Church Street,2.9,73342,468,No,Yes,Delivery,Buffet,TBC Sky Lounge
"Reid, Turner and Jones",BTM,1.8,96304,4660,No,Yes,Delivery,Cafes,TBC Sky Lounge
Fuentes LLC,Whitefield,4.8,119211,950,Yes,Yes,Casual Dining,Cafes,TBC Sky Lounge
Lyons-Thompson,HSR,4.3,53803,762,Yes,Yes,Quick Bites,Cafes,Biergarten
Bradley-Manning,Church Street,1.5,37939,1264,No,Yes,Casual Dining,Delivery,Biergarten
"Smith, Wallace and King",Indiranagar,2.8,62382,5023,No,Yes,Quick Bites,Cafes,Toit
Thompson and Sons,HSR,4.1,137920,1131,Yes,No,Delivery,Cafes,Empire
Russo Ltd,Church Street,1.9,132088,2014,Yes,No,Delivery,Delivery,Toit
Gonzalez-Bell,Marathahalli,4.5,111755,5820,Yes,No,Delivery,Delivery,The Black Pearl
"Jones, Sanders and Blair",BTM,3.6,17228,1233,No,No,Delivery,Desserts,Empire
"Becker, Smith and Williams",Koramangala,3.1,112784,1012,Yes,Yes,Delivery,Buffet,TBC Sky Lounge
Roberts and Sons,Jayanagar,2.7,118892,3466,No,Yes,Cafe,Buffet,Brew and Barbeque
Garcia-Lewis,Koramangala,2.8,40023,5826,No,Yes,Casual Dining,Delivery,The Black Pearl
"Gallagher, Smith and Williams",Jayanagar,1.8,97697,1265,Yes,No,Casual Dining,Buffet,Brew and Barbeque
Donovan-Rodriguez,Jayanagar,4.5,13496,2556,No,No,Casual Dining,Desserts,Empire
Thomas-Morgan,JP Nagar,2.0,126413,2037,Yes,No,Dessert Parlor,Cafes,The Black Pearl
Hill-Martin,Koramangala,3.5,112499,4795,Yes,No,Casual Dining,Dine-out,Windmills Craftworks
Weaver-Pena,Koramangala,4.7,92028,250,Yes,Yes,Dessert Parlor,Buffet,The Black Pearl
"Davis, Keith and Howell",HSR,4.1,8046,951,Yes,No,Delivery,Buffet,Brew and Barbeque
Davis-Becker,HSR,2.8,85045,4849,Yes,Yes,Quick Bites,Dine-out,Nagarjuna
Young-Anderson,Indiranagar,3.9,71340,3829,No,No,Dessert Parlor,Buffet,The Fatty Bao
Meyer LLC,Koramangala,2.3,134318,1132,No,No,Casual Dining,Cafes,Nagarjuna
Edwards and Sons,Marathahalli,3.3,80860,572,Yes,No,Dessert Parlor,Delivery,Toit
Lee-Stout,JP Nagar,2.6,55383,1324,No,No,Cafe,Delivery,Toit
"Myers, Horn and Lopez",Marathahalli,4.1,46067,1258,No,Yes,Dessert Parlor,Desserts,Brew and Barbeque
Carrillo and Sons,Whitefield,2.9,11099,3773,Yes,No,Casual Dining,Cafes,Nagarjuna
Fields-Howell,Jayanagar,3.5,109505,2571,Yes,No,Casual Dining,Cafes,Biergarten
Riley and Sons,Church Street,3.1,94867,921,No,Yes,Quick Bites,Buffet,Nagarjuna
Maddox PLC,Jayanagar,3.3,103757,2741,No,Yes,Cafe,Dine-out,The Black Pearl
Holland Group,MG Road,3.7,139104,4377,Yes,No,Cafe,Dine-out,TBC Sky Lounge
Lucas Group,Whitefield,2.0,51723,1621,Yes,Yes,Quick Bites,Buffet,Truffles
Zhang-Bailey,Church Street,4.2,117687,5779,No,No,Quick Bites,Buffet,The Black Pearl
"Miller, Gonzalez and Dalton",Marathahalli,3.0,79392,2450,Yes,No,Dessert Parlor,Delivery,Windmills Craftworks
"Lopez, Stanley and Montgomery",Marathahalli,3.1,14923,3220,No,Yes,Casual Dining,Desserts,Nagarjuna
Hanson-Wade,MG Road,2.8,145320,536,No,Yes,Cafe,Desserts,Truffles
"Hernandez, Santos and Chen",MG Road,2.0,16229,3890,Yes,No,Casual Dining,Desserts,Biergarten
"Strickland, Solomon and Taylor",Indiranagar,2.4,114765,3799,Yes,No,Cafe,Cafes,The Fatty Bao
Atkinson-Donovan,Jayanagar,4.2,13737,5368,No,Yes,Cafe,Delivery,Empire
Hayes-Martinez,Jayanagar,2.5,39429,2930,Yes,Yes,Cafe,Cafes,The Fatty Bao
Avila and Sons,HSR,3.6,22218,2736,No,No,Quick Bites,Desserts,The Black Pearl
Mendoza-Robertson,Jayanagar,3.3,4789,3170,No,Yes,Quick Bites,Cafes,Truffles
Smith-Graves,JP Nagar,2.3,36071,1469,Yes,No,Casual Dining,Desserts,Empire
Hayes-Arias,MG Road,1.6,88290,5262,Yes,No,Quick Bites,Dine-out,Biergarten
Lee Group,Church Street,4.3,43405,3785,Yes,No,Cafe,Dine-out,Truffles
"Jackson, Morales and Hart",Church Street,2.5,117693,2116,Yes,No,Delivery,Dine-out,Brew and Barbeque
Williams LLC,Church Street,4.9,121036,2508,No,No,Quick Bites,Dine-out,Nagarjuna
Harris Ltd,HSR,4.6,13688,5452,No,No,Dessert Parlor,Delivery,Empire
Mullins-Jimenez,Whitefield,2.5,42034,2434,No,Yes,Delivery,Delivery,TBC Sky Lounge
"Bowman, Marquez and Price",Marathahalli,4.6,7001,3598,Yes,No,Dessert Parlor,Cafes,TBC Sky Lounge
"Wyatt, Thompson and Rogers",Jayanagar,5.0,98291,2039,Yes,No,Casual Dining,Cafes,Biergarten
"Mullins, Williams and Hughes",HSR,1.6,123861,5902,Yes,No,Delivery,Desserts,Toit
"Medina, Weaver and Zimmerman",Whitefield,1.6,56542,1424,No,Yes,Cafe,Dine-out,Windmills Craftworks
Rivas LLC,Whitefield,1.7,110064,5434,No,Yes,Casual Dining,Buffet,Nagarjuna
Frye-Fernandez,MG Road,1.6,135112,4910,Yes,Yes,Cafe,Buffet,Toit
Russell-Johnson,Church Street,2.7,149606,3612,Yes,Yes,Dessert Parlor,Cafes,The Black Pearl
"Whitaker, Moore and Glover",MG Road,3.4,133080,4739,Yes,No,Delivery,Delivery,The Fatty Bao
Kelley PLC,BTM,2.4,4267,3125,Yes,No,Quick Bites,Delivery,Nagarjuna
Hernandez PLC,BTM,2.0,92363,4672,No,Yes,Delivery,Buffet,Biergarten
Kim Ltd,HSR,1.7,119987,502,No,Yes,Casual Dining,Dine-out,Toit
Smith-Davis,BTM,4.8,135114,3462,No,No,Casual Dining,Dine-out,Windmills Craftworks
Brown Ltd,BTM,4.5,12541,5571,No,No,Casual Dining,Cafes,The Fatty Bao
Morales Group,Jayanagar,4.1,101366,2977,Yes,No,Delivery,Cafes,Empire
"Brown, Ballard and Stanley",Koramangala,4.3,111290,846,No,Yes,Dessert Parlor,Cafes,Brew and Barbeque
"Walsh, Clark and Ray",Whitefield,1.8,77510,2710,No,No,Quick Bites,Buffet,Brew and Barbeque
"Durham, Anderson and Waters",Marathahalli,1.6,92431,5236,No,No,Casual Dining,Delivery,The Fatty Bao
James-Martinez,BTM,3.3,41949,455,Yes,No,Casual Dining,Dine-out,The Black Pearl
Hood LLC,JP Nagar,4.2,96040,3166,No,Yes,Dessert Parlor,Dine-out,Truffles
Black LLC,BTM,2.8,20165,4901,Yes,No,Delivery,Cafes,Windmills Craftworks
Gallagher LLC,JP Nagar,4.9,6803,1724,No,No,Dessert Parlor,Delivery,Windmills Craftworks
"Park, Lewis and Elliott",Koramangala,4.0,56258,5212,No,No,Quick Bites,Delivery,Biergarten
Bennett-Rodriguez,Whitefield,3.1,116693,919,No,No,Casual Dining,Desserts,Empire
Norris PLC,Koramangala,4.6,41299,5936,Yes,No,Dessert Parlor,Dine-out,The Black Pearl
Parker-Parks,JP Nagar,4.3,62068,4247,Yes,No,Dessert Parlor,Desserts,Brew and Barbeque
Wilson-Carr,Marathahalli,4.3,144620,1263,Yes,Yes,Cafe,Buffet,Truffles
Alexander and Sons,MG Road,2.9,107340,4909,Yes,Yes,Cafe,Delivery,Truffles
"Carter, Graves and Reyes",Marathahalli,3.9,90322,1251,Yes,Yes,Delivery,Desserts,Toit
Davila-Miller,Whitefield,3.3,79734,1548,Yes,No,Quick Bites,Cafes,Empire
"Knight, Rodriguez and Espinoza",Koramangala,4.5,65704,1808,No,Yes,Cafe,Desserts,Empire
Williams-Collins,Whitefield,3.3,44216,5048,Yes,Yes,Dessert Parlor,Desserts,Brew and Barbeque
Brooks-Potts,Church Street,1.6,7447,865,Yes,No,Quick Bites,Desserts,The Fatty Bao
Sanders Group,Church Street,3.7,130567,5337,No,No,Delivery,Dine-out,The Fatty Bao
"Black, Nash and Boyd",Koramangala,3.1,15715,1494,No,No,Delivery,Buffet,TBC Sky Lounge
"Sanchez, Rivers and Ford",BTM,3.6,81951,2815,No,No,Quick Bites,Cafes,Empire
Carney-Mccullough,MG Road,1.9,63380,4021,Yes,No,Delivery,Dine-out,Biergarten
Shaw-Hart,Whitefield,1.7,100712,5241,No,Yes,Quick Bites,Cafes,Nagarjuna
"Gonzalez, Johnson and Davis",BTM,2.2,41780,4281,No,No,Cafe,Buffet,Toit
Leon-Bowen,Whitefield,4.8,132509,3945,Yes,Yes,Dessert Parlor,Cafes,Toit
"Thomas, Sawyer and Blake",Indiranagar,2.5,123371,2540,Yes,Yes,Delivery,Dine-out,Windmills Craftworks
"Perkins, Webb and Flores",BTM,4.2,95938,570,No,Yes,Dessert Parlor,Desserts,TBC Sky Lounge
Dalton and Sons,BTM,3.4,19285,3364,No,No,Dessert Parlor,Desserts,The Black Pearl
"Higgins, Williams and Woods",HSR,4.9,103269,3257,No,No,Quick Bites,Dine-out,Nagarjuna
Duncan-Turner,MG Road,2.9,10562,571,Yes,Yes,Cafe,Buffet,Empire
Peters and Sons,Marathahalli,2.0,135146,1345,No,No,Quick Bites,Buffet,Nagarjuna
Freeman-Kramer,Koramangala,3.6,132999,4375,No,No,Delivery,Delivery,Brew and Barbeque
Baker Ltd,BTM,3.9,109203,4981,No,Yes,Dessert Parlor,Buffet,Windmills Craftworks
Stout Inc,Church Street,3.5,13472,4980,No,Yes,Dessert Parlor,Desserts,The Fatty Bao
Sherman-Li,HSR,4.4,63500,458,Yes,Yes,Casual Dining,Buffet,Brew and Barbeque
"Potter, Morgan and Walsh",Jayanagar,2.0,53458,3561,No,Yes,Quick Bites,Desserts,TBC Sky Lounge
"Hansen, Chen and Sharp",MG Road,2.6,125412,4504,No,No,Quick Bites,Buffet,Empire
Williams Inc,BTM,3.4,69310,5197,No,Yes,Quick Bites,Cafes,Empire
"Camacho, Berger and Koch",Koramangala,2.3,78027,2567,Yes,No,Cafe,Buffet,Brew and Barbeque
Rosario-Rodriguez,MG Road,4.8,71695,2557,Yes,No,Delivery,Cafes,Biergarten
Gomez LLC,Koramangala,1.6,20727,3037,No,No,Delivery,Dine-out,TBC Sky Lounge
Wells PLC,MG Road,2.4,147339,5903,No,Yes,Casual Dining,Desserts,Nagarjuna
"Moyer, Rogers and Thomas",JP Nagar,2.3,139219,2048,Yes,Yes,Casual Dining,Buffet,Brew and Barbeque
Haynes-Haas,Marathahalli,1.9,36046,242,Yes,No,Delivery,Buffet,TBC Sky Lounge
Roach-Williams,Koramangala,2.6,15519,932,Yes,Yes,Quick Bites,Buffet,Biergarten
"Horton, Hancock and Green",Indiranagar,5.0,104079,4258,Yes,No,Casual Dining,Delivery,Windmills Craftworks
Reid-Kirk,Church Street,3.6,87839,2531,No,No,Quick Bites,Desserts,Truffles
Austin-Cruz,Koramangala,2.2,29539,2908,Yes,No,Cafe,Dine-out,Toit
"Barnes, Hughes and Torres",BTM,4.3,148850,5724,Yes,Yes,Dessert Parlor,Buffet,The Fatty Bao
Bowers-Kelley,MG Road,2.6,105086,5682,Yes,Yes,Quick Bites,Buffet,Brew and Barbeque
Brewer Ltd,JP Nagar,1.5,100561,2129,No,No,Cafe,Cafes,Nagarjuna
"Valentine, Yates and Dennis",Church Street,1.5,94264,5875,Yes,Yes,Casual Dining,Buffet,Windmills Craftworks
Leonard and Sons,HSR,2.9,131742,5963,No,Yes,Cafe,Cafes,Nagarjuna
Guerrero Inc,JP Nagar,2.3,35024,4117,Yes,No,Dessert Parlor,Cafes,The Fatty Bao
"Burns, Gill and Obrien",MG Road,4.7,140917,5640,Yes,Yes,Dessert Parlor,Delivery,Empire
Anderson-Wood,Marathahalli,3.3,94849,839,Yes,Yes,Dessert Parlor,Desserts,TBC Sky Lounge
Carson and Sons,Church Street,3.4,43142,2887,No,Yes,Quick Bites,Desserts,Truffles
Rangel Group,Whitefield,4.6,116790,655,No,Yes,Dessert Parlor,Buffet,Truffles
"Davis, Morgan and Vaughn",Church Street,1.7,121219,5711,No,Yes,Delivery,Cafes,Toit
"Rhodes, Rice and Hull",JP Nagar,3.5,11882,3670,No,Yes,Dessert Parlor,Delivery,The Black Pearl
Moore-Burke,Marathahalli,1.6,107192,1674,Yes,No,Cafe,Buffet,Truffles
Martin Inc,Jayanagar,2.8,141384,1289,No,Yes,Quick Bites,Desserts,The Fatty Bao
Taylor Ltd,MG Road,1.9,58386,228,Yes,No,Delivery,Desserts,The Fatty Bao
"Garcia, Benjamin and Barajas",MG Road,2.8,60215,2227,No,No,Quick Bites,Cafes,TBC Sky Lounge
Patterson-Collier,Whitefield,1.6,109911,5237,Yes,Yes,Quick Bites,Delivery,The Black Pearl
Levy-Lamb,Church Street,1.6,12770,2204,Yes,No,Delivery,Dine-out,Empire
Jennings-Potter,JP Nagar,4.1,14806,1347,No,Yes,Dessert Parlor,Cafes,Nagarjuna
Cole-Rose,Church Street,4.2,84070,2140,No,Yes,Dessert Parlor,Dine-out,The Fatty Bao
Moran-Salazar,Koramangala,2.5,145950,5046,Yes,No,Dessert Parlor,Buffet,Toit
Wright and Sons,BTM,4.8,99927,4496,No,No,Delivery,Dine-out,Windmills Craftworks
Campbell PLC,Jayanagar,2.1,141024,4079,Yes,Yes,Cafe,Dine-out,Truffles
Odom-Baker,Indiranagar,3.5,109195,4765,Yes,No,Quick Bites,Cafes,TBC Sky Lounge
"Kim, Cox and Walsh",BTM,3.8,117918,3239,Yes,Yes,Casual Dining,Cafes,The Fatty Bao
Bell-Berg,Church Street,3.6,19089,1741,Yes,No,Quick Bites,Cafes,Windmills Craftworks
Moore and Sons,Indiranagar,2.2,49823,1161,No,Yes,Dessert Parlor,Dine-out,The Fatty Bao
"King, Aguirre and Miller",JP Nagar,3.4,74212,3318,No,No,Cafe,Cafes,Brew and Barbeque
"Blackwell, Webb and Lee",MG Road,4.6,122170,1007,No,No,Quick Bites,Cafes,Brew and Barbeque
Greene-Brooks,Jayanagar,1.7,58015,1395,Yes,No,Dessert Parlor,Desserts,Nagarjuna
"Malone, Rojas and Brown",Jayanagar,2.5,51440,2902,Yes,No,Dessert Parlor,Dine-out,Truffles
Melton-Richardson,MG Road,3.8,88500,2308,No,No,Delivery,Dine-out,Brew and Barbeque
"Simmons, Hamilton and Gibson",HSR,2.0,143283,4200,Yes,Yes,Dessert Parlor,Delivery,The Black Pearl
